"team","gold_medals","silver_medals","bronze_medals","total_medals"
"Wales-4",0,0,2,2
"Kuwait",0,0,2,2
"Oranje",2,0,0,2
"Tritons Lillois-2",0,2,0,2
"Indonesia",1,1,0,2
"Gallia II",0,0,2,2
"Tunisia",0,0,2,2
"Australia-1",1,0,1,2
"Heira II",2,0,0,2
"Kurush II",0,2,0,2
"Ludwigshafener Ruder Verein-1",0,0,2,2
"Tip",0,2,0,2
"Lebanon",0,1,1,2
"Bissbi",2,0,0,2
"Symphony",0,2,0,2
"Great Britain-3",0,0,2,2
"Amstel Amsterdam",0,0,2,2
"Hollandia",0,2,0,2
"Gyrinus-1",2,0,0,2
"Syria",0,1,1,2
"Luxembourg",1,1,0,2
"Frankfurt Club",0,2,0,2
"Heroine",2,0,0,2
"New York Turnverein, New York",0,2,0,2
"BLO Polo Club, Rugby",0,2,0,2
"Liverpool Police Team-2",0,2,0,2
"Stella-2",0,0,2,2
"Fiji",2,0,0,2
"Silja",0,2,0,2
"Foxhunters Hurlingham",2,0,0,2
"Mosk II",2,0,0,2
"Mound City Rowing Club-2",0,2,0,2
"Russia-2",0,2,0,2
"Italia",2,0,0,2
"Slaghoken",0,2,0,2
"Tango",0,2,0,2
"Scotia",2,0,0,2
"Lalage",2,0,0,2
"Western Rowing Club-3",0,0,2,2
"Cobweb-1",2,0,0,2
"Mouchette-2",0,2,0,2
"Smyrna",0,2,0,2
"Niger",0,1,1,2
"United States Golf Association-3",0,0,2,2
"Tornado",0,2,0,2
"Tutti V",0,0,2,2
"Osborne Swimming Club, Manchester",2,0,0,2
"Chuckles",0,0,1,1
"Bingo",0,0,1,1
"Sweden-3",0,0,1,1
"Canada-2",0,1,0,1
"Lucky Girl-1",0,0,1,1
"Complex II",1,0,0,1
"Brynhild-2",0,1,0,1
"Crabe II-1",0,1,0,1
"Antwerpia V",0,0,1,1
"Seawanhaka Boat Club-1",1,0,0,1
"Llanoria",1,0,0,1
"St. Louis Amateur Athletic Association",0,1,0,1
"Bem II",0,0,1,1
"Tanzania",0,1,0,1
"Togo",0,0,1,1
"Nepal",1,0,0,1
"Central Turnverein, Chicago",0,0,1,1
"Leander Club #2-2",0,1,0,1
"Widgeon",0,0,1,1
"South Korea-2",0,0,1,1
"Kullan",1,0,0,1
"Kerstin-1",0,0,1,1
"Ormsund Roklub-2",0,0,1,1
"Guyoni",0,0,1,1
"Jordan",1,0,0,1
"May Be",0,0,1,1
"Berliner Ruderclub",0,0,1,1
"Uganda",1,0,0,1
"Ali-Baba II",0,0,1,1
"Dormy-1",1,0,0,1
"Gem IV",0,0,1,1
"Kitty-1",1,0,0,1
"Mutafo",0,1,0,1
"Unified Team-1",1,0,0,1
"Sirene",1,0,0,1
"Ballerina IV",0,0,1,1
"Cote d'Ivoire",1,0,0,1
"Bagatelle Polo Club, Paris",0,0,1,1
"Denmark/Sweden",1,0,0,1
"Bluebottle",0,0,1,1
"Crabe II-4",0,0,1,1
"New York Athletic Club #1-1",1,0,0,1
"Nirefs",1,0,0,1
"Trans-Mississippi Golf Association-2",0,1,0,1
"Encore",0,1,0,1
"Mignon-3",0,0,1,1
"Argonaut Rowing Club",0,0,1,1
"Bera",1,0,0,1
"Marmi II-1",0,1,0,1
"Iraq",0,0,1,1
"Thessalonki-1",0,0,1,1
"Rowing Club Castillon-3",0,0,1,1
"Dominican Republic",1,0,0,1
"Gem",1,0,0,1
"Guyana",0,0,1,1
"Greece-2",0,0,1,1
"Esterel-1",1,0,0,1
"Carabinier-15",1,0,0,1
"Guatemala",0,1,0,1
"Sweden-2",0,1,0,1
"Buraddoo",0,0,1,1
"Netherlands-1",0,0,1,1
"Heatherbell",0,0,1,1
"Swedish Star",0,0,1,1
"Sarcelle-3",0,0,1,1
"Jest",1,0,0,1
"Jo",1,0,0,1
"Elsie",0,1,0,1
"Gwendoline-2",0,0,1,1
"Caprice",0,0,1,1
"China-2",1,0,0,1
"Germania II",0,0,1,1
"Ancora",1,0,0,1
"Espadarte",0,0,1,1
"Moldova",0,0,1,1
"Wannsee",1,0,0,1
"Latvia-1",0,1,0,1
"United Arab Emirates",1,0,0,1
"Elisabeth V",1,0,0,1
"Botswana",0,1,0,1
"White Lady",1,0,0,1
"Elvis Va",1,0,0,1
"Malaysia-1",0,1,0,1
"Austria-2",0,0,1,1
"Sweden-1",0,1,0,1
"Denmark-2",0,0,1,1
"Socit Nautique de Bayonne-1",0,0,1,1
"Unified Team-2",0,1,0,1
"Israel",0,1,0,1
"Swift",1,0,0,1
"Bonzo",0,1,0,1
"Great Britain/Germany",1,0,0,1
"Magdalen College Boat Club-1",1,0,0,1
"New York Athletic Club-1",1,0,0,1
"Chicago Athletic Association-2",0,1,0,1
"Univ. of Brussels",0,0,1,1
"Brazil-2",0,0,1,1
"Namoussa",0,0,1,1
"Netherlands Antilles",0,1,0,1
"Willem-Six",0,0,1,1
"London City Police-1",1,0,0,1
"Senegal",0,1,0,1
"Hurlingham-2",0,1,0,1
"Amateur Athletic Association",1,0,0,1
"Nykjbings paa Falster",1,0,0,1
"Kyrgyzstan",0,1,0,1
"Santa Maria",0,1,0,1
"Leander Club #1-1",1,0,0,1
"Chicago Athletic Association",0,1,0,1
"United States/Great Britain",0,0,1,1
"St. Louis Southwest Turnverein #1-2",0,1,0,1
"Philippines",0,1,0,1
"Boreas-2",0,1,0,1
"Socit Nautique de Bayonne-2",0,0,1,1
"Aphrodite",0,0,1,1
"Slaghoken II",1,0,0,1
"Teresita",0,0,0,0
"Roklubb Kbnhavn-2",0,0,0,0
"Tournade-40",0,0,0,0
"Quand-Mme-33",0,0,0,0
"Kiribati",0,0,0,0
"Federated States of Micronesia",0,0,0,0
"Saar",0,0,0,0
"Turnverein Vorwrts, Cleveland",0,0,0,0
"Suzy-2",0,0,0,0
"Dansk Idrts Forbund",0,0,0,0
"30. Februar",0,0,0,0
"Acipactli",0,0,0,0
"Snowten III",0,0,0,0
"Macedonia",0,0,0,0
"Papua New Guinea",0,0,0,0
"May-Be 1960",0,0,0,0
"American Samoa",0,0,0,0
"Lucky Star",0,0,0,0
"Augsburg",0,0,0,0
"Societ Nautique de la Marne-3",0,0,0,0
"Saga-2",0,0,0,0
"Czech Republic-2",0,0,0,0
"St. Margrite",0,0,0,0
"Ciocca II",0,0,0,0
"Djibouti",0,0,0,0
"Nauru",0,0,0,0
"Andorinha",0,0,0,0
"Kiel",0,0,0,0
"Anitra",0,0,0,0
"Hong Kong",0,0,0,0
"Gabbiano",0,0,0,0
"Thalatta",0,0,0,0
"Tom Kyle",0,0,0,0
"Daisy",0,0,0,0
"Comoros",0,0,0,0
"Lett",0,0,0,0
"Nigeria-1",0,0,0,0
"Viking",0,0,0,0
"Web III",0,0,0,0
"R.-V. Germania, Leitmeritz",0,0,0,0
"EA II",0,0,0,0
"Favorite-17",0,0,0,0
"West Germany-2",0,0,0,0
"Angola",0,0,0,0
"Kingfisher",0,0,0,0
"Bahrain",0,0,0,0
"Congo (Kinshasa)",0,0,0,0
"Paula",0,0,0,0
"Mauritius-1",0,0,0,0
"Malawi",0,0,0,0
"Belgium-1",0,0,0,0
"Burundi",0,0,0,0
"Germany-3",0,0,0,0
"Dinah V",0,0,0,0
"Japan-2",0,0,0,0
"Terrible",0,0,0,0
"Aletta",0,0,0,0
"Starlight III",0,0,0,0
"South Yemen",0,0,0,0
"Palau",0,0,0,0
"Eissero VI",0,0,0,0
"Carabinier-5",0,0,0,0
"Bermuda",0,0,0,0
"Norwegian Rowing Association",0,0,0,0
"Mystery",0,0,0,0
"United States-10",0,0,0,0
"Crabe II-12",0,0,0,0
"Nausikaa 4",0,0,0,0
"Snude",0,0,0,0
"Guanahani",0,0,0,0
"Hungaria",0,0,0,0
"Gambia",0,0,0,0
"Malaysia-2",0,0,0,0
"Vietnam",0,0,0,0
"Inca",0,0,0,0
"Chinese Taipei-2",0,0,0,0
"GyoshuII",0,0,0,0
"Vicking",0,0,0,0
"Cupidon Viking",0,0,0,0
"Moorina",0,0,0,0
"Pupilles de Neptune de Lille #1-3",0,0,0,0
"Gustel V",0,0,0,0
"Berliner Ruderclub Sport-Borussia-1",0,0,0,0
"Mauritania",0,0,0,0
"Kristiania Roklub-1",0,0,0,0
"Mozambique",0,0,0,0
"Clementine V",0,0,0,0
"Davenport Turngemeinde, Davenport",0,0,0,0
"Norway-3",0,0,0,0
"Galerna",0,0,0,0
"Belize",0,0,0,0
"Honduras",0,0,0,0
"Ciocca",0,0,0,0
"Puerto Rico-2",0,0,0,0
"KNS",0,0,0,0
"June Climene",0,0,0,0
"Morena",0,0,0,0
"Mexico-2",0,0,0,0
"Pierre et Jean-4",0,0,0,0
"Babe",0,0,0,0
"Chinese Taipei-1",0,0,0,0
"Turkmenistan",0,0,0,0
"Italy-3",0,0,0,0
"Bermudian",0,0,0,0
"Aschenbrodel",0,0,0,0
"Chaje II",0,0,0,0
"Norway-2",0,0,0,0
"Nikh",0,0,0,0
"Aldebaran II",0,0,0,0
"Nicaragua",0,0,0,0
"Bella",0,0,0,0
"Czechoslovakia-2",0,0,0,0
"Tonga",0,0,0,0
"Rififi",0,0,0,0
"Antigua and Barbuda",0,0,0,0
"Palestine",0,0,0,0
"Grifo IV",0,0,0,0
"Hungary-1",0,0,0,0
"Galejan",0,0,0,0
"Antares",0,0,0,0
"Fram",0,0,0,0
"Societ Nautique de la Marne",0,0,0,0
"Buscape II",0,0,0,0
"Scotland-2",0,0,0,0
"Crabe I-2",0,0,0,0
"Galopin-9",0,0,0,0
"San Marino",0,0,0,0
"Rhythm",0,0,0,0
"Partenope",0,0,0,0
"Malta",0,0,0,0
"Umberta V",0,0,0,0
"Sao Tome and Principe",0,0,0,0
"Latvia-2",0,0,0,0
"Panhellenios Gymnastikos Syllogos-1",0,0,0,0
"Sabre",0,0,0,0
"Fada",0,0,0,0
"SagaII",0,0,0,0
"Chamukina",0,0,0,0
"Kristiania Roklub",0,0,0,0
"United States-14",0,0,0,0
"The Cloud",0,0,0,0
"North Yemen",0,0,0,0
"Galopin-20",0,0,0,0
"Acturus",0,0,0,0
"Zambia",0,0,0,0
"Norway-1",0,0,0,0
"Benin",0,0,0,0
"Cyprus",0,0,0,0
"Mari",0,0,0,0
"Mauritius-2",0,0,0,0
"Guam",0,0,0,0
"Romania-1",0,0,0,0
"Mexico-1",0,0,0,0
"Argus",0,0,0,0
"Arcturus",0,0,0,0
"Chok",0,0,0,0
"Oxalis",0,0,0,0
"Bulgaria-1",0,0,0,0
"Great Britain-4",0,0,0,0
"Dominica",0,0,0,0
"Nautikos Omilos-3",0,0,0,0
"Breslau",0,0,0,0
"Red Dragon",0,0,0,0
"Gran Gesto",0,0,0,0
"Twins II",0,0,0,0
"Saskia",0,0,0,0
"Libellule de Paris-3",0,0,0,0
"Trintel II",0,0,0,0
"Solomon Islands",0,0,0,0
"Mistral Hojris",0,0,0,0
"Wolseley-Siddeley-1",0,0,0,0
"Peri II",0,0,0,0
"Bylina-2",0,0,0,0
"Galatea II",0,0,0,0
"Tichiboo",0,0,0,0
"Impala",0,0,0,0
"Belarus-1",0,0,0,0
"Pan-Hellenic Athletic Club",0,0,0,0
"Omilos Ereton Peiraios-2",0,0,0,0
"Eritrea",0,0,0,0
"Ylliam VII",0,0,0,0
"Crabe I-11",0,0,0,0
"Nora",0,0,0,0
"Namibia",0,0,0,0
"Tim-Tam III",0,0,0,0
"England",0,0,0,0
"Aldebaran",0,0,0,0
"Matrero II",0,0,0,0
"Marga-2",0,0,0,0
"Suriname",0,0,0,0
"Linglom",0,0,0,0
"La Salle Turnverein, Chicago",0,0,0,0
"Gteborgs Roddklubb-1",0,0,0,0
"Studenternes Roklub-2",0,0,0,0
"Israel-1",0,0,0,0
"Covunco III",0,0,0,0
"Souvenance",0,0,0,0
"Bolivia",0,0,0,0
"May Be VII",0,0,0,0
"Gem III",0,0,0,0
"Hb-20",0,0,0,0
"Panama",0,0,0,0
"Yemen",0,0,0,0
"Sudan",0,0,0,0
"Mali",0,0,0,0
"Druzhba",0,0,0,0
"United States-6",0,0,0,0
"Dylan-2",0,0,0,0
"Gem II",0,0,0,0
"Puerto Rico-1",0,0,0,0
"Poland-1",0,0,0,0
"Argentina-1",0,0,0,0
"Konstanz",0,0,0,0
"Concordia Turnverein, St Louis",0,0,0,0
"Vesania",0,0,0,0
"United States Virgin Islands-1",0,0,0,0
"Relampago",0,0,0,0
"Spirit III",0,0,0,0
"Damoiselle",0,0,0,0
"Canopus",0,0,0,0
"Monica",0,0,0,0
"Romania-2",0,0,0,0
"Yeoman VII",0,0,0,0
"Gam II",0,0,0,0
"Briar",0,0,0,0
"Spain-1",0,0,0,0
"Blue Red",0,0,0,0
"Sri Lanka",0,0,0,0
"Brunei",0,0,0,0
"Grenada",0,0,0,0
"Cayman Islands",0,0,0,0
"Calypse II",0,0,0,0
"Shoveller",0,0,0,0
"Ukraine-2",0,0,0,0
"Proteus II",0,0,0,0
"Madagascar",0,0,0,0
"Passaic Turnverein, Passaic",0,0,0,0
"Sierra Leone",0,0,0,0
"Vaxholm Roddklubb",0,0,0,0
"Calcinhas",0,0,0,0
"Tuvalu",0,0,0,0
"Ireland-3",0,0,0,0
"Paka V",0,0,0,0
"Circus",0,0,0,0
"Guinea",0,0,0,0
"Hungaria Evezos Egylet",0,0,0,0
"Lemzos Thorichton ""Spetsai""-4",0,0,0,0
"Rwanda",0,0,0,0
"Lotta IV",0,0,0,0
"Faneca",0,0,0,0
"Saint Lucia",0,0,0,0
"Sarcelle-35",0,0,0,0
"Congo (Brazzaville)",0,0,0,0
"Unique",0,0,0,0
"Poland-2",0,0,0,0
"Mauritius",0,0,0,0
"United States-3",0,0,0,0
"Baccara",0,0,0,0
"Gteborgs Roddfrening-2",0,0,0,0
"Apache",0,0,0,0
"Jill",0,0,0,0
"Monaco-2",0,0,0,0
"Trickson VI",0,0,0,0
"Spain-2",0,0,0,0
"United States-9",0,0,0,0
"Xolotl",0,0,0,0
"Rhodesia",0,0,0,0
"Esperia",0,0,0,0
"Uragan",0,0,0,0
"Cupidon III",0,0,0,0
"Bhutan",0,0,0,0
"Fruits",0,0,0,0
"Czechoslovakia-1",0,0,0,0
"Argentina-2",0,0,0,0
"Pegaso",0,0,0,0
"Peri",0,0,0,0
"Yugoslavia-1",0,0,0,0
"Burkina Faso",0,0,0,0
"Evita VI",0,0,0,0
"DeRuyter",0,0,0,0
"Nirwana",0,0,0,0
"Qu'Importe",0,0,0,0
"Oman",0,0,0,0
"Timor Leste",0,0,0,0
"Phoenix",0,0,0,0
"Pannonia RC/National RC",0,0,0,0
"Ylliam II",0,0,0,0
"Girl Pat",0,0,0,0
"Serbia-2",0,0,0,0
"Roddklubben af 1912-2",0,0,0,0
"rn-2",0,0,0,0
"Ylliam VIII",0,0,0,0
"Ali-Baba IX",0,0,0,0
"Chicago Archers",0,0,0,0
"Dresden",0,0,0,0
"Russia-3",0,0,0,0
"Liechtenstein",0,0,0,0
"Cuba-2",0,0,0,0
"Kon-Tiki",0,0,0,0
"Gem VII",0,0,0,0
"Bronia",0,0,0,0
"Twins VIII",0,0,0,0
"Czech Republic-1",0,0,0,0
"Central African Republic",0,0,0,0
"Malaya",0,0,0,0
"Lemzos Thorichton ""Psara""-3",0,0,0,0
"Ciocca III",0,0,0,0
"Bu III",0,0,0,0
"Seychelles",0,0,0,0
"Rozenn-3",0,0,0,0
"Guinea Bissau",0,0,0,0
"Damoiselle IV",0,0,0,0
"Sjhxa",0,0,0,0
"Meteor",0,0,0,0
"North Borneo",0,0,0,0
"Crete",0,0,0,0
"New York Athletic Club #2-4",0,0,0,0
"Ariel",0,0,0,0
"Naiad",0,0,0,0
"New York Athletic Club-4",0,0,0,0
"United States-7",0,0,0,0
"Pousse-Moi Pas VII",0,0,0,0
"Socit Nautique de la Basse Seine-2",0,0,0,0
"Belgium-2",0,0,0,0
"Aruba",0,0,0,0
"Yangon",0,0,0,0
"Mirtala",0,0,0,0
"Pam",0,0,0,0
"United States Virgin Islands",0,0,0,0
"Costa Rica",0,0,0,0
"Bermudes",0,0,0,0
"Compigne Polo Club",0,0,0,0
"Equatorial Guinea",0,0,0,0
"Samoa",0,0,0,0
"Andorra",0,0,0,0
"Somalia",0,0,0,0
"Burevestnik",0,0,0,0
"Fantasio III",0,0,0,0
"Hirondelle",0,0,0,0
"Tajamar",0,0,0,0
"Bangladesh",0,0,0,0
"Mignon-29",0,0,0,0
"Nina Claire-30",0,0,0,0
"Club Nautique de Franais-1",0,0,0,0
"South Vietnam",0,0,0,0
"Sidi Fekkar-36",0,0,0,0
"Inga-Lill XXXXIII",0,0,0,0
"Unknown",0,0,0,0
"Oleander II",0,0,0,0
"Cambodia",0,0,0,0
"North Korea-1",0,0,0,0
"Laos",0,0,0,0
"Hatuey",0,0,0,0
"Albania",0,0,0,0
"Fortuna",0,0,0,0
"Nigeria-2",0,0,0,0
"Plume-patte-32",0,0,0,0
"Turnverein Vorwrts, Chicago",0,0,0,0
"Gwendoline-22",0,0,0,0
"Olen",0,0,0,0
"Posillipo III",0,0,0,0
"Cape Verde",0,0,0,0
"Cha-Cha III",0,0,0,0
"Maldives",0,0,0,0
"Roma",0,0,0,0
"Gitana-21",0,0,0,0
"Bosnia and Herzegovina",0,0,0,0
"Liberia",0,0,0,0
"United States Virgin Islands-2",0,0,0,0
"Monaco-1",0,0,0,0
"Brigantia",0,0,0,0
"Struten",0,0,0,0
"Firebird II",0,0,0,0
"Cuba-1",0,0,0,0
"Pierre et Jean-3",0,0,0,0
"Czechoslovakia-3",0,0,0,0
"France-4",0,0,0,0
"Ral-Club Barcelona",0,0,0,0
"Gilliatt V",0,0,0,0
"Rush IV",0,0,0,0
"Diablo",0,0,0,0
"Sonja II",0,0,0,0
"Serendipity",0,0,0,0
"Scotland",0,0,0,0
"Ceres II",0,0,0,0
"Wiking",0,0,0,0
"Gabon",0,0,0,0
"Feo",0,0,0,0
"India-1",0,0,0,0
"Bamba",0,0,0,0
"Akatonbo",0,0,0,0
"Canada-3",0,0,0,0
"Netherlands-2",0,0,0,0
"British Virgin Islands",0,0,0,0
"Libya",0,0,0,0
"Vanuatu",0,0,0,0
"Australia-2",0,0,0,0
"LaBandera",0,0,0,0
"Pigoule",0,0,0,0
"Calimucho",0,0,0,0
"Monaco",0,0,0,0
"Pakaria",0,0,0,0
"Sydney Rowing Club",0,0,0,0
"Romolo",0,0,0,0
"Espuma del Mar",0,0,0,0
"Belgium-4",0,0,0,0
"Amolgavar",0,0,0,0
"Pettit-Poucet-6",0,0,0,0
"Soviet Union-3",0,0,0,0
"El Salvador",0,0,0,0
"Joy",0,0,0,0
"Yeoman XII",0,0,0,0
"Bulgaria-2",0,0,0,0
"East Germany-3",0,0,0,0
"Hong Kong-1",0,0,0,0
"Sidi-Fekkar-14",0,0,0,0
"Oleander XII",0,0,0,0
"Crabe I-3",0,0,0,0
"Norwegier Turnverein, Brooklyn",0,0,0,0
"Nortazo",0,0,0,0
"Barbados",0,0,0,0
"Bohemia",0,0,0,0
"Plume-Patte-5",0,0,0,0
"Primorka",0,0,0,0
"Club Nautique de Dieppe-5",0,0,0,0
"Saint Vincent and the Grenadines",0,0,0,0
"Marshall Islands",0,0,0,0
"Tornade-16",0,0,0,0
"Cambria",0,0,0,0
"Scram",0,0,0,0
"Cook Islands",0,0,0,0
"Socit Nautique de Bayonne",0,0,0,0
"Virginie",0,0,0,0
"Afghanistan",0,0,0,0
"Chad",0,0,0,0
"Camelia",0,0,0,0
"Israel-2",0,0,0,0
"Denmark-1",0,0,0,0
"Saint Kitts and Nevis",0,0,0,0
"Frip IV",0,0,0,0
"Hb-24",0,0,0,0
"Indonesia-2",0,0,0,0
"Cercle Nautique de Reims-4",0,0,0,0
"Athens-2",0,0,0,0
"Tilly",0,0,0,0
"Vinha",0,0,0,0
"Ali-Baba IV",0,0,0,0
"Grifo III",0,0,0,0
"Pampero",0,0,0,0
"South Africa-2",0,0,0,0
"Ali-Baba VI",0,0,0,0
"Siames-Cat",0,0,0,0
"Ecuador",0,0,0,0
"Dolfijn",0,0,0,0
"Allegro",0,0,0,0
"Tu-Fri",0,0,0,0
"South St Louis Turnverein, St Louis",0,0,0,0
"Martha-27",0,0,0,0
"West Indies Federation",0,0,0,0
"Ausonia",0,0,0,0
"Refugee Olympic Athletes",0,0,0,0
"Japan-1",0,0,0,0
"Finn II",0,0,0,0
"Greece-3",0,0,0,0
"Swaziland",0,0,0,0
"Myanmar",0,0,0,0
"Mad Dog",0,0,0,0
"Beaver",0,0,0,0
"Kurush IV",0,0,0,0
"Whitini Star",0,0,0,0
"Marmara",0,0,0,0
