"year","name","team","sport","event"
2012,"Andrea Baldini","Italy","Fencing","Fencing Men's Foil, Team"
2012,"Robert William ""Rob"" Bale","Great Britain","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
2012,"Ivano Bali","Croatia","Handball","Handball Men's Handball"
2012,"Anabel Balkenhol","Germany","Equestrianism","Equestrianism Mixed Dressage, Individual"
2012,"Marcel Gerard Balkestein","Netherlands","Hockey","Hockey Men's Hockey"
2012,"Ashleigh Julia Ball","Great Britain","Hockey","Hockey Women's Hockey"
2012,"Ibrahim Balla","Australia","Boxing","Boxing Men's Bantamweight"
2012,"Musaeb Abdulrahman Balla","Qatar","Athletics","Athletics Men's 800 metres"
2012,"Jos Carlos Ballb Sala","Spain","Hockey","Hockey Men's Hockey"
2012,"Coralie Balmy","France","Swimming","Swimming Women's 400 metres Freestyle"
2012,"Coralie Balmy","France","Swimming","Swimming Women's 800 metres Freestyle"
2012,"Coralie Balmy","France","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
2012,"Erik Balnuweit","Germany","Athletics","Athletics Men's 110 metres Hurdles"
2012,"Gbor Balog","Hungary","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Gbor Balog","Hungary","Swimming","Swimming Men's 200 metres Backstroke"
2012,"Suzanne Elspeth ""Suzy"" Balogh","Australia","Shooting","Shooting Women's Trap"
2012,"Elena Baltacha","Great Britain","Tennis","Tennis Women's Singles"
2012,"Elena Baltacha","Great Britain-1","Tennis","Tennis Women's Doubles"
2012,"Yuliya Vladimirovna Balykina","Belarus","Athletics","Athletics Women's 100 metres"
2012,"Yuliya Vladimirovna Balykina","Belarus","Athletics","Athletics Women's 4 x 100 metres Relay"
2012,"ukasz Banak","Poland","Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman"
2012,"Anum Bandey","Pakistan","Swimming","Swimming Women's 400 metres Individual Medley"
2012,"Rahul Banerjee","India","Archery","Archery Men's Individual"
2012,"Rahul Banerjee","India","Archery","Archery Men's Team"
2012,"Konstantinos ""Kostas"" Baniotis","Greece","Athletics","Athletics Men's High Jump"
2012,"Imogen Bankier","Great Britain","Badminton","Badminton Mixed Doubles"
2012,"David Banks","United States","Rowing","Rowing Men's Coxed Eights"
2012,"Jarrod Bannister","Australia","Athletics","Athletics Men's Javelin Throw"
2012,"Amine Bannour","Tunisia","Handball","Handball Men's Handball"
2012,"Anastasiya Aleksandrovna Bannova","Kazakhstan","Archery","Archery Women's Individual"
2012,"Andriana Veselinova Banova","Bulgaria","Athletics","Athletics Women's Triple Jump"
2012,"Herv Banti","Monaco","Triathlon","Triathlon Men's Olympic Distance"
2012,"Kelly-Ann Kaylene Baptiste","Trinidad and Tobago","Athletics","Athletics Women's 100 metres"
2012,"Kelly-Ann Kaylene Baptiste","Trinidad and Tobago","Athletics","Athletics Women's 4 x 100 metres Relay"
2012,"Talita Baqlah","Jordan","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Elsa Mara Baquerizo McMillan","Spain","Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
2012,"Carina Br","Germany","Rowing","Rowing Women's Quadruple Sculls"
2012,"Nimrod Shapira Bar-Or","Israel","Swimming","Swimming Men's 200 metres Freestyle"
2012,"Enik Barabs-Mironcic","Romania","Rowing","Rowing Women's Coxed Eights"
2012,"Samir Bara","Croatia","Water Polo","Water Polo Men's Water Polo"
2012,"Xavier Barachet","France","Handball","Handball Men's Handball"
2012,"Sara Ashraf Mohamed Mohamed Baraka","Egypt","Rowing","Rowing Women's Lightweight Double Sculls"
2012,"Azad Al-Barazi","Syria","Swimming","Swimming Men's 100 metres Breaststroke"
2012,"Jenny Barazza","Italy","Volleyball","Volleyball Women's Volleyball"
2012,"Ana Luiza Busato Barbachan","Brazil","Sailing","Sailing Women's Two Person Dinghy"
2012,"Morgan Barbanon Mestres","Spain","Equestrianism","Equestrianism Mixed Dressage, Individual"
2012,"Morgan Barbanon Mestres","Spain","Equestrianism","Equestrianism Mixed Dressage, Team"
2012,"Kosta Barbarouses","New Zealand","Football","Football Men's Football"
2012,"Arianna Barbieri","Italy","Swimming","Swimming Women's 100 metres Backstroke"
2012,"Arianna Barbieri","Italy","Swimming","Swimming Women's 4 x 100 metres Medley Relay"
2012,"Erica Barbieri","Italy","Judo","Judo Women's Middleweight"
2012,"Henrique Ribeiro Marques Barbosa","Brazil","Swimming","Swimming Men's 200 metres Breaststroke"
2012,"Leandro Mateus Barbosa","Brazil","Basketball","Basketball Men's Basketball"
2012,"Neyde Marisa Pina Barbosa","Angola","Handball","Handball Women's Handball"
2012,"Vera Lcia Mendes Barbosa","Portugal","Athletics","Athletics Women's 400 metres Hurdles"
2012,"Georgina Bardach Martin","Argentina","Swimming","Swimming Women's 400 metres Individual Medley"
2012,"Karen Louise Bardsley","Great Britain","Football","Football Women's Football"
2012,"Andrea Bari","Italy","Volleyball","Volleyball Men's Volleyball"
2012,"Sonja Barjaktarovi","Montenegro","Handball","Handball Women's Handball"
2012,"Roxanne Kimberly Barker","South Africa","Football","Football Women's Football"
2012,"Ebrahim Barkhordari","Iran","Shooting","Shooting Men's Air Pistol, 10 metres"
2012,"Ebrahim Barkhordari","Iran","Shooting","Shooting Men's Free Pistol, 50 metres"
2012,"Ahmed Al-Barki","Morocco","Boxing","Boxing Men's Light-Heavyweight"
2012,"David Barlow","Australia","Basketball","Basketball Men's Basketball"
2012,"Daundre Barnaby","Canada","Athletics","Athletics Men's 400 metres"
2012,"Elisa Barnard","Australia","Archery","Archery Women's Individual"
2012,"Patrick Gerard ""Paddy"" Barnes","Ireland","Boxing","Boxing Men's Light-Flyweight"
2012,"Tamsin Barnett-Hinchley","Australia-2","Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
2012,"Andrea Barno San Martn","Spain","Handball","Handball Women's Handball"
2012,"Thomas Gabriel Jrmie Baroukh","France","Rowing","Rowing Men's Lightweight Coxless Fours"
2012,"Khasan Makharbekovich Baroyev","Russia","Wrestling","Wrestling Men's Super-Heavyweight, Greco-Roman"
2012,"Jessie Barr","Ireland","Athletics","Athletics Women's 4 x 400 metres Relay"
2012,"Abdelaziz Barrada","Morocco","Football","Football Men's Football"
2012,"Bronte Amelia Arnold Barratt","Australia","Swimming","Swimming Women's 200 metres Freestyle"
2012,"Bronte Amelia Arnold Barratt","Australia","Swimming","Swimming Women's 400 metres Freestyle"
2012,"Bronte Amelia Arnold Barratt","Australia","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
2012,"Onn Barreiros Rodrguez","Spain","Sailing","Sailing Men's Two Person Dinghy"
2012,"Brigetta LaShea Barrett","United States","Athletics","Athletics Women's High Jump"
2012,"Mark Anthony Barriga","Philippines","Boxing","Boxing Men's Light-Flyweight"
2012,"Jennifer Mae ""Jenny"" Barringer-Simpson","United States","Athletics","Athletics Women's 1,500 metres"
2012,"Mara Noel Barrionuevo","Argentina","Hockey","Hockey Women's Hockey"
2012,"Juan Luis Barrios Nieves","Mexico","Athletics","Athletics Men's 5,000 metres"
2012,"Yarelis Barrios Castaeda","Cuba","Athletics","Athletics Women's Discus Throw"
2012,"Gonzalo Barroilhet Costabal","Chile","Athletics","Athletics Men's Decathlon"
2012,"Trevor Barron","United States","Athletics","Athletics Men's 20 kilometres Walk"
2012,"Erick Bernab Barrondo Garca","Guatemala","Athletics","Athletics Men's 20 kilometres Walk"
2012,"Erick Bernab Barrondo Garca","Guatemala","Athletics","Athletics Men's 50 kilometres Walk"
2012,"Ana Patrcia  da Costa Barros","Angola","Handball","Handball Women's Handball"
2012,"Elsa Marisa Branco Barros Rodrigues","Portugal","Athletics","Athletics Women's Marathon"
2012,"Sarah Ellen Barrow","Great Britain","Diving","Diving Women's Synchronized Platform"
2012,"Mamadou Barry","Guinea","Athletics","Athletics Men's 1,500 metres"
2012,"Peter Barry","Canada","Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
2012,"Peter Barry","Canada","Equestrianism","Equestrianism Mixed Three-Day Event, Team"
2012,"Trevor George Barry","Bahamas","Athletics","Athletics Men's High Jump"
2012,"Anahit Barseghyan","Armenia","Swimming","Swimming Women's 100 metres Backstroke"
2012,"Mutaz Essa Barshim","Qatar","Athletics","Athletics Men's High Jump"
2012,"Jacob Jepsen Barse","Denmark","Rowing","Rowing Men's Lightweight Coxless Fours"
2012,"Jan Brta","Czech Republic","Cycling","Cycling Men's Road Race, Individual"
2012,"Nra Barta","Hungary","Diving","Diving Women's Springboard"
2012,"Lenka Bartkov","Czech Republic","Basketball","Basketball Women's Basketball"
2012,"Danka Bartekov","Slovakia","Shooting","Shooting Women's Skeet"
2012,"Ralf Bartels","Germany","Athletics","Athletics Men's Shot Put"
2012,"Mona Barthel","Germany","Tennis","Tennis Women's Singles"
2012,"Beata Bartkw-Kwiatkowska","Poland","Shooting","Shooting Women's Air Pistol, 10 metres"
2012,"Beata Bartkw-Kwiatkowska","Poland","Shooting","Shooting Women's Sporting Pistol, 25 metres"
2012,"Laura Bartlett","Great Britain","Hockey","Hockey Women's Hockey"
2012,"Christopher Roger ""Chris"" Bartley","Great Britain","Rowing","Rowing Men's Lightweight Coxless Fours"
2012,"Zbigniew Bartman","Poland","Volleyball","Volleyball Men's Volleyball"
2012,"Joseph ""Joe"" Bartoch","Canada","Swimming","Swimming Men's 100 metres Butterfly"
2012,"Joseph ""Joe"" Bartoch","Canada","Swimming","Swimming Men's 4 x 100 metres Medley Relay"
2012,"Clive Barton","Australia","Shooting","Shooting Men's Skeet"
2012,"Jitka Bartonikov","Czech Republic","Athletics","Athletics Women's 4 x 400 metres Relay"
2012,"Kateina Bartoov","Czech Republic","Basketball","Basketball Women's Basketball"
2012,"Anastasiya Vladimirovna Baryshnikova","Russia","Taekwondo","Taekwondo Women's Heavyweight"
2012,"Miguel ngel Brzola","Argentina","Athletics","Athletics Men's Marathon"
2012,"Jeremy Bascom","Guyana","Athletics","Athletics Men's 100 metres"
2012,"Dimitri David Bascou","France","Athletics","Athletics Men's 110 metres Hurdles"
2012,"Kayla M. Bashore-Smedley","United States","Hockey","Hockey Women's Hockey"
2012,"Clara Basiana Caellas","Spain","Synchronized Swimming","Synchronized Swimming Women's Team"
2012,"Sonja Bai","Croatia","Handball","Handball Women's Handball"
2012,"Kalle Bask","Finland","Sailing","Sailing Men's Skiff"
2012,"Ray Bassil","Lebanon","Shooting","Shooting Women's Trap"
2012,"Marc Bassingthwaighte","Namibia","Cycling","Cycling Men's Mountainbike, Cross-Country"
2012,"Jean Basson","South Africa","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
2012,"Bat-Ochiryn Ser-Od","Mongolia","Athletics","Athletics Men's Marathon"
2012,"Cristian Ioan Bag","Romania","Gymnastics","Gymnastics Men's Team All-Around"
2012,"Cristian Ioan Bag","Romania","Gymnastics","Gymnastics Men's Floor Exercise"
2012,"Cristian Ioan Bag","Romania","Gymnastics","Gymnastics Men's Rings"
2012,"Cristian Ioan Bag","Romania","Gymnastics","Gymnastics Men's Pommelled Horse"
2012,"Polona Batagelj","Slovenia","Cycling","Cycling Women's Road Race, Individual"
2012,"Sarah Blake Bateman","Iceland","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Sarah Blake Bateman","Iceland","Swimming","Swimming Women's 100 metres Butterfly"
2012,"Sarah Blake Bateman","Iceland","Swimming","Swimming Women's 4 x 100 metres Medley Relay"
2012,"Noemi Batki","Italy","Diving","Diving Women's Platform"
2012,"Suzy Batkovic (-Brown)","Australia","Basketball","Basketball Women's Basketball"
2012,"Milo Btovsk","Slovakia","Athletics","Athletics Men's 50 kilometres Walk"
2012,"Romano Battisti","Italy","Rowing","Rowing Men's Double Sculls"
2012,"Emily Batty","Canada","Cycling","Cycling Women's Mountainbike, Cross-Country"
2012,"Nicolas Batum","France","Basketball","Basketball Men's Basketball"
2012,"Paule Baudouin","France","Handball","Handball Women's Handball"
2012,"Hans Jacob ""Jack"" Bauer","New Zealand","Cycling","Cycling Men's Road Race, Individual"
2012,"Hans Jacob ""Jack"" Bauer","New Zealand","Cycling","Cycling Men's Individual Time Trial"
2012,"Grgory Benot Baug","France","Cycling","Cycling Men's Sprint"
2012,"Grgory Benot Baug","France","Cycling","Cycling Men's Team Sprint"
2012,"Hannes Baumann","Germany","Sailing","Sailing Men's Skiff"
2012,"Iga Baumgart","Poland","Athletics","Athletics Women's 4 x 400 metres Relay"
2012,"Simona Baumrtov","Czech Republic","Swimming","Swimming Women's 100 metres Backstroke"
2012,"Simona Baumrtov","Czech Republic","Swimming","Swimming Women's 200 metres Backstroke"
2012,"Dorothy Lee ""Dotsie"" Bausch (Cowden-)","United States","Cycling","Cycling Women's Team Pursuit"
2012,"Ward Bauwens","Belgium","Swimming","Swimming Men's 400 metres Individual Medley"
2012,"Karolis Baua","Lithuania","Judo","Judo Men's Middleweight"
2012,"Louise Bawden","Australia-1","Beach Volleyball","Beach Volleyball Women's Beach Volleyball"
2012,"Darkhan Argynovich Bayakhmetov","Kazakhstan","Wrestling","Wrestling Men's Welterweight, Greco-Roman"
2012,"Bayaraagiin Naranbaatar","Mongolia","Wrestling","Wrestling Men's Featherweight, Freestyle"
2012,"Yermek Satybaldyyevich Bayduashov","Kazakhstan","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle"
2012,"Sebastian Bayer","Germany","Athletics","Athletics Men's Long Jump"
2012,"Aron John Baynes","Australia","Basketball","Basketball Men's Basketball"
2012,"Rvn Bayramov","Azerbaijan","Wrestling","Wrestling Men's Featherweight, Greco-Roman"
2012,"fqan Bayramov","Azerbaijan","Weightlifting","Weightlifting Men's Lightweight"
2012,"Leonid Anatolievich Bazan","Bulgaria","Wrestling","Wrestling Men's Welterweight, Freestyle"
2012,"Mario Alfonzo Bazn Argandoa","Peru","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"mrbek Bazarbaew","Turkmenistan","Weightlifting","Weightlifting Men's Featherweight"
2012,"Asan Tolegenovich Bazayev","Kazakhstan","Cycling","Cycling Men's Road Race, Individual"
2012,"Asan Tolegenovich Bazayev","Kazakhstan","Cycling","Cycling Men's Individual Time Trial"
2012,"Nadezhda Valeryevna Bazhina","Russia","Diving","Diving Women's Springboard"
2012,"Svenja Bazlen","Germany","Triathlon","Triathlon Women's Olympic Distance"
2012,"Lorne Dorcas Bazolo","Congo (Brazzaville)","Athletics","Athletics Women's 100 metres"
2012,"Tatyana Vyacheslavovna Bazyuk","Russia","Sailing","Sailing Women's Windsurfer"
2012,"Chiara Bazzoni","Italy","Athletics","Athletics Women's 4 x 400 metres Relay"
2012,"Mhmmd bdlhmidov","Azerbaijan","Boxing","Boxing Men's Bantamweight"
2012,"Gemma Beadsworth","Australia","Water Polo","Water Polo Women's Water Polo"
2012,"Jamie Beadsworth","Australia","Water Polo","Water Polo Men's Water Polo"
2012,"Lynne Beattie","Great Britain","Volleyball","Volleyball Women's Volleyball"
2012,"Ronald Layne Beaubien","United States","Water Polo","Water Polo Men's Water Polo"
2012,"Danielle Elizabeth Marie Beaubrun","Saint Lucia","Swimming","Swimming Women's 100 metres Breaststroke"
2012,"Marie-ve Beauchemin-Nadeau","Canada","Weightlifting","Weightlifting Women's Light-Heavyweight"
2012,"Marie-Pier Beaudet","Canada","Archery","Archery Women's Individual"
2012,"Philippe Beaudry","Canada","Fencing","Fencing Men's Sabre, Individual"
2012,"Maxime Eugne Ren Beaumont","France","Canoeing","Canoeing Men's Kayak Singles, 200 metres"
2012,"Anna Rose Bebington-Watkins","Great Britain","Rowing","Rowing Women's Double Sculls"
2012,"Jrmy Beccu","France","Boxing","Boxing Men's Light-Flyweight"
2012,"Laura Bechtolsheimer (-Tomlinson)","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Individual"
2012,"Laura Bechtolsheimer (-Tomlinson)","Great Britain","Equestrianism","Equestrianism Mixed Dressage, Team"
2012,"Charlotte Becker","Germany","Cycling","Cycling Women's Road Race, Individual"
2012,"Charlotte Becker","Germany","Cycling","Cycling Women's Team Pursuit"
2012,"Yevgeny Aleksandrovich Bedulin","Belarus","Judo","Judo Men's Half-Heavyweight"
2012,"Romela Begaj","Albania","Weightlifting","Weightlifting Women's Lightweight"
2012,"Irina Camelia Begu","Romania","Tennis","Tennis Women's Singles"
2012,"Kieran Philip Behan","Ireland","Gymnastics","Gymnastics Men's Floor Exercise"
2012,"Pascal Behrenbruch","Germany","Athletics","Athletics Men's Decathlon"
2012,"Clmence Beikes","France","Basketball","Basketball Women's Basketball"
2012,"Elizabeth Lyon Beisel","United States","Swimming","Swimming Women's 200 metres Backstroke"
2012,"Elizabeth Lyon Beisel","United States","Swimming","Swimming Women's 400 metres Individual Medley"
2012,"Ruth Beita Vila","Spain","Athletics","Athletics Women's High Jump"
2012,"Kenenisa Bekele Beyecha","Ethiopia","Athletics","Athletics Men's 10,000 metres"
2012,"Tariku Bekele Beyecha","Ethiopia","Athletics","Athletics Men's 10,000 metres"
2012,"Emir Bekri","Serbia","Athletics","Athletics Men's 400 metres Hurdles"
2012,"Alexei Bel","Cuba","Wrestling","Wrestling Men's Middleweight, Greco-Roman"
2012,"Mohamed Khaled Belabbas","Algeria","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Friederike Belcher (Ziegelmayer-)","Germany","Sailing","Sailing Women's Two Person Dinghy"
2012,"Mathew Belcher","Australia","Sailing","Sailing Men's Two Person Dinghy"
2012,"Claudia Renate Belderbos","Netherlands","Rowing","Rowing Women's Coxed Eights"
2012,"Almensh Belete","Belgium","Athletics","Athletics Women's 5,000 metres"
2012,"Mimi Belete Gebregeiorges","Bahrain","Athletics","Athletics Women's 1,500 metres"
2012,"Marina Viktorovna Belikova","Russia","Shooting","Shooting Women's Skeet"
2012,"Maria Belimpasaki","Greece","Athletics","Athletics Women's 100 metres"
2012,"Maria Belimpasaki","Greece","Athletics","Athletics Women's 200 metres"
2012,"Bojan Beljanski","Serbia","Handball","Handball Men's Handball"
2012,"Olga Vladimirovna Belkina","Russia","Athletics","Athletics Women's 100 metres"
2012,"Olga Vladimirovna Belkina","Russia","Athletics","Athletics Women's 4 x 100 metres Relay"
2012,"Daniel Rae Bell","New Zealand","Swimming","Swimming Men's 100 metres Backstroke"
2012,"Daniel Rae Bell","New Zealand","Swimming","Swimming Men's 100 metres Butterfly"
2012,"Katherine ""Katie"" Bell","United States","Diving","Diving Women's Platform"
2012,"Zachary Michael ""Zach"" Bell","Canada","Cycling","Cycling Men's Omnium"
2012,"Franoise Josphine Bella","Cameroon","Football","Football Women's Football"
2012,"Jefferson Bellaguarda","Switzerland-2","Beach Volleyball","Beach Volleyball Men's Beach Volleyball"
2012,"Craig Douglas Bellamy","Great Britain","Football","Football Men's Football"
2012,"Janeil Bellille","Trinidad and Tobago","Athletics","Athletics Women's 400 metres Hurdles"
2012,"Concepcin Bellorin Naranjo","Spain","Judo","Judo Women's Lightweight"
2012,"Thomaz Cocchiarali Bellucci","Brazil","Tennis","Tennis Men's Singles"
2012,"Thomaz Cocchiarali Bellucci","Brazil-2","Tennis","Tennis Men's Doubles"
2012,"Tarik Belmadani","France","Wrestling","Wrestling Men's Lightweight, Greco-Roman"
2012,"Dailn Belmonte Torres","Cuba","Athletics","Athletics Women's Marathon"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 400 metres Freestyle"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 800 metres Freestyle"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 200 metres Butterfly"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 200 metres Individual Medley"
2012,"Mireia Belmonte Garca","Spain","Swimming","Swimming Women's 400 metres Individual Medley"
2012,"Yana Borysivna Belomoina","Ukraine","Cycling","Cycling Women's Mountainbike, Cross-Country"
2012,"Marco Belotti","Italy","Swimming","Swimming Men's 200 metres Freestyle"
2012,"Marco Belotti","Italy","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
2012,"Vasile Belous","Moldova","Boxing","Boxing Men's Welterweight"
2012,"Olga Konstantinovna Belova-Gorbunova","Russia","Water Polo","Water Polo Women's Water Polo"
2012,"Fabiana Beltrame","Brazil","Rowing","Rowing Women's Lightweight Double Sculls"
2012,"Samuel Beltz","Australia","Rowing","Rowing Men's Lightweight Coxless Fours"
2012,"Daria Vasilyevna Belyakina","Russia","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
2012,"Yevgeniya Aleksandrovna Belyakova","Russia","Basketball","Basketball Women's Basketball"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Individual All-Around"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Team All-Around"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Floor Exercise"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Parallel Bars"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Horizontal Bar"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Rings"
2012,"David Sagitovich Belyavsky","Russia","Gymnastics","Gymnastics Men's Pommelled Horse"
2012,"Olga Yevgenyevna Belyayeva","Russia","Water Polo","Water Polo Women's Water Polo"
2012,"Amira Ben Amor","Tunisia","Athletics","Athletics Women's Marathon"
2012,"Amira Ben Chaabane","Tunisia","Fencing","Fencing Women's Sabre, Individual"
2012,"Mehdi Ben Cheikh","Tunisia","Volleyball","Volleyball Men's Volleyball"
2012,"Khaoula Ben Hamza","Tunisia","Taekwondo","Taekwondo Women's Heavyweight"
2012,"Bilel Ben Hassine","Tunisia","Volleyball","Volleyball Men's Volleyball"
2012,"Afef Ben Ismail","Tunisia","Canoeing","Canoeing Women's Kayak Singles, 200 metres"
2012,"Afef Ben Ismail","Tunisia","Canoeing","Canoeing Women's Kayak Singles, 500 metres"
2012,"Makram Ben Romdhane","Tunisia","Basketball","Basketball Men's Basketball"
2012,"Mohamed Ben Slimane","Tunisia","Volleyball","Volleyball Men's Volleyball"
2012,"Amor Ben Yahia","Tunisia","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Diego Orlando Benaglio","Switzerland","Football","Football Men's Football"
2012,"Tarek Aziz Benaissa","Algeria","Wrestling","Wrestling Men's Lightweight, Greco-Roman"
2012,"Maximilian Benassi","Italy","Canoeing","Canoeing Men's Kayak Singles, 1,000 metres"
2012,"Alfonso Benavides Lpez de Ayala","Spain","Canoeing","Canoeing Men's Canadian Singles, 200 metres"
2012,"Abdelhafid Benchabla","Algeria","Boxing","Boxing Men's Light-Heavyweight"
2012,"Jos Reynaldo Bencosme de Leon","Italy","Athletics","Athletics Men's 400 metres Hurdles"
2012,"Michele Benedetti","Italy","Diving","Diving Men's Springboard"
2012,"Nicola Benedetti","Italy","Modern Pentathlon","Modern Pentathlon Men's Individual"
2012,"Petr Bene","Czech Republic","Beach Volleyball","Beach Volleyball Men's Beach Volleyball"
2012,"Meaghan Benfeito","Canada","Diving","Diving Women's Platform"
2012,"Meaghan Benfeito","Canada","Diving","Diving Women's Synchronized Platform"
2012,"Jerry Ricardo Bengtson Bodden","Honduras","Football","Football Men's Football"
2012,"Angelica Therese Bengtsson","Sweden","Athletics","Athletics Women's Pole Vault"
2012,"Rolf-Gran Bengtsson","Sweden","Equestrianism","Equestrianism Mixed Jumping, Individual"
2012,"Rolf-Gran Bengtsson","Sweden","Equestrianism","Equestrianism Mixed Jumping, Team"
2012,"Rosalie Bni Tano","Cote d'Ivoire","Wrestling","Wrestling Women's Flyweight, Freestyle"
2012,"Alejandra Jhonay de Jess Bentez Romero","Venezuela","Fencing","Fencing Women's Sabre, Individual"
2012,"Jenifer del Carmen Bentez Bentez","Spain","Diving","Diving Women's Springboard"
2012,"Alexia Pamela Bentez Quijada","El Salvador","Swimming","Swimming Women's 800 metres Freestyle"
2012,"Barbara Benk","Hungary","Cycling","Cycling Women's Mountainbike, Cross-Country"
2012,"Julien Benneteau","France","Tennis","Tennis Men's Singles"
2012,"Julien Benneteau","France-2","Tennis","Tennis Men's Doubles"
2012,"Laura Marie Bennett (Reback-)","United States","Triathlon","Triathlon Women's Olympic Distance"
2012,"Ronald Roosevelt Bennett Martnez","Honduras","Athletics","Athletics Men's 110 metres Hurdles"
2012,"Hawley Bennett-Awad","Canada","Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
2012,"Hawley Bennett-Awad","Canada","Equestrianism","Equestrianism Mixed Three-Day Event, Team"
2012,"Zohra Bensalem","Algeria","Volleyball","Volleyball Women's Volleyball"
2012,"Craig Harry Benson","Great Britain","Swimming","Swimming Men's 100 metres Breaststroke"
2012,"Craig Harry Benson","Great Britain","Swimming","Swimming Men's 4 x 100 metres Medley Relay"
2012,"Anna Bentley","Great Britain","Fencing","Fencing Women's Foil, Individual"
2012,"Anna Bentley","Great Britain","Fencing","Fencing Women's Foil, Team"
2012,"Allan Hundstrup Bentsen","Denmark","Table Tennis","Table Tennis Men's Singles"
2012,"Pierre-Yves Bny","France","Gymnastics","Gymnastics Men's Team All-Around"
2012,"Pierre-Yves Bny","France","Gymnastics","Gymnastics Men's Floor Exercise"
2012,"Pierre-Yves Bny","France","Gymnastics","Gymnastics Men's Parallel Bars"
2012,"Pierre-Yves Bny","France","Gymnastics","Gymnastics Men's Rings"
2012,"Pierre-Yves Bny","France","Gymnastics","Gymnastics Men's Pommelled Horse"
2012,"Fumiyuki Beppu","Japan","Cycling","Cycling Men's Road Race, Individual"
2012,"Fumiyuki Beppu","Japan","Cycling","Cycling Men's Individual Time Trial"
2012,"Marius Daniel Berbecar","Romania","Gymnastics","Gymnastics Men's Team All-Around"
2012,"Marius Daniel Berbecar","Romania","Gymnastics","Gymnastics Men's Parallel Bars"
2012,"Marius Daniel Berbecar","Romania","Gymnastics","Gymnastics Men's Horizontal Bar"
2012,"Marius Daniel Berbecar","Romania","Gymnastics","Gymnastics Men's Rings"
2012,"Marius Daniel Berbecar","Romania","Gymnastics","Gymnastics Men's Pommelled Horse"
2012,"Oleg Berdos","Moldova","Cycling","Cycling Men's Road Race, Individual"
2012,"Tom Berdych","Czech Republic","Tennis","Tennis Men's Singles"
2012,"Tom Berdych","Czech Republic","Tennis","Tennis Men's Doubles"
2012,"Zsombor Berecz","Hungary","Sailing","Sailing Men's One Person Dinghy"
2012,"Richard ""Ricky"" Berens","United States","Swimming","Swimming Men's 200 metres Freestyle"
2012,"Richard ""Ricky"" Berens","United States","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Richard ""Ricky"" Berens","United States","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
2012,"Olha Oleksandrivna Beresneva","Ukraine","Swimming","Swimming Women's 10 kilometres Open Water"
2012,"Katarna Bereov","Slovakia","Athletics","Athletics Women's Marathon"
2012,"Yury Viktorovich Berezhko","Russia","Volleyball","Volleyball Men's Volleyball"
2012,"Jana Berezko-Marggrander","Germany","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Individual"
2012,"Lindsey Napela Berg","United States","Volleyball","Volleyball Women's Volleyball"
2012,"Zakarya Bergdich","Morocco","Football","Football Men's Football"
2012,"Stig Andr Berge","Norway","Wrestling","Wrestling Men's Lightweight, Greco-Roman"
2012,"Gabriel ""Gabe"" Bergen","Canada","Rowing","Rowing Men's Coxed Eights"
2012,"Janine Berger","Germany","Gymnastics","Gymnastics Women's Team All-Around"
2012,"Janine Berger","Germany","Gymnastics","Gymnastics Women's Floor Exercise"
2012,"Janine Berger","Germany","Gymnastics","Gymnastics Women's Horse Vault"
2012,"Janine Berger","Germany","Gymnastics","Gymnastics Women's Uneven Bars"
