"team","sport","total_medals"
"Magda IX","Sailing",3
"Magdalen College Boat Club-1","Rowing",1
"Malaysia","Cycling",1
"Malaysia","Diving",1
"Malaysia","Badminton",1
"Malaysia-1","Badminton",1
"Marinai della nave da guerra ""Varese""","Rowing",3
"Marmi II-1","Sailing",1
"Martha-1","Sailing",4
"May Be","Sailing",1
"Mexico","Diving",7
"Mexico","Football",7
"Mignon-3","Sailing",1
"Minerva Amsterdam","Rowing",5
"Missouri Athletic Club-3","Swimming",1
"Missouri Athletic Club-3","Water Polo",1
"Mohawk Indians-2","Lacrosse",3
"Moldova","Weightlifting",1
"Mongolia","Wrestling",3
"Montenegro","Handball",4
"Morocco","Athletics",14
"Moseley Wanderers","Rugby",5
"Mosk II","Sailing",2
"Mouchette-2","Sailing",2
"Mound City Rowing Club-2","Rowing",2
"Mutafo","Sailing",1
"Namoussa","Sailing",1
"Nepal","Alpinism",1
"Netherlands","Hockey",87
"Netherlands-1","Beach Volleyball",1
"Netherlands Antilles","Sailing",1
"New College, Oxford-2","Rowing",3
"New York Athletic Club-1","Water Polo",1
"New York Athletic Club #1-1","Swimming",1
"New York Turnverein, New York","Gymnastics",2
"New Zealand","Rowing",24
"Niger","Taekwondo",1
"Niger","Boxing",1
"Nigeria","Football",21
"Nina","Sailing",3
"Nina Claire-2","Sailing",3
"Nirefs","Sailing",1
"Norna","Sailing",3
"North Korea","Judo",2
"North Korea","Weightlifting",2
"Norway","Cross Country Skiing",53
"Nykjbings paa Falster","Rowing",1
"Olle","Sailing",4
"Oranje","Sailing",2
"Ormsund Roklub-2","Rowing",1
"Osborne Swimming Club, Manchester","Water Polo",2
"Pakistan","Hockey",44
"Pan","Sailing",2
"Paraguay","Football",11
"Peru","Volleyball",3
"Phalainis ton Thorichtou ""Hydra""-2","Rowing",3
"Philippines","Weightlifting",1
"Pistoja/Firenze","Gymnastics",2
"Poland","Boxing",12
"Polyteknisk Roklub-1","Rowing",2
"Portugal","Equestrianism",4
"Puerto Rico","Boxing",1
"Puerto Rico","Wrestling",1
"Puerto Rico","Athletics",1
"Pupilles de Neptune de Lille #2-1","Water Polo",4
"Qatar","Athletics",2
"Quand-Mme-2","Sailing",3
"Racing Club de France","Athletics",4
"Roddklubben af 1912-1","Rowing",3
"Romania","Rowing",51
"Rowing Club Castillon-3","Rowing",1
"Royal Club Nautique de Gand","Rowing",5
"Russia","Athletics",20
"Russia-1","Figure Skating",4
"Russia-2","Figure Skating",2
"Santa Maria","Sailing",1
"Sarcelle-3","Sailing",1
"Saudi Arabia","Equestrianism",4
"Scotia","Sailing",2
"Scotland-3","Hockey",3
"Seawanhaka Boat Club-1","Rowing",1
"Senegal","Athletics",1
"Serbia","Basketball",7
"Serbia","Water Polo",7
"Serbia and Montenegro","Volleyball",5
"Serbia and Montenegro","Basketball",5
"Silja","Sailing",2
"Singapore","Table Tennis",3
"Sirene","Sailing",1
"Slaghoken","Sailing",2
"Slaghoken II","Sailing",1
"Slovakia","Canoeing",2
"Slovenia","Rowing",4
"Smyrna","Football",2
"Snap","Sailing",3
"Socit Nautique de Bayonne-1","Rowing",1
"Socit Nautique de Bayonne-2","Rowing",1
"Socit Nautique de la Basse Seine-1","Rowing",6
"South Africa","Boxing",6
"South Korea","Short Track Speed Skating",14
"South Korea-2","Table Tennis",1
"Soviet Union","Gymnastics",84
"Soviet Union-1","Figure Skating",6
"Soviet Union-2","Bobsleigh",2
"Spain","Hockey",40
"St. Louis Amateur Athletic Association","Lacrosse",1
"St. Louis Southwest Turnverein #1-2","Tug-Of-War",1
"St. Rose-2","Football",6
"Stella-2","Sailing",2
"Sweden","Ice Hockey",61
"Sweden-1","Tennis",1
"Sweden-2","Tennis",1
"Sweden-3","Tennis",1
"Swedish Star","Sailing",1
"Swift","Sailing",1
"Switzerland","Rowing",19
"Switzerland-1","Bobsleigh",28
"Switzerland-2","Bobsleigh",11
"Symphony","Sailing",2
"Syria","Boxing",1
"Syria","Wrestling",1
"Taifun","Sailing",3
"Tajikistan","Boxing",1
"Tajikistan","Wrestling",1
"Tajikistan","Judo",1
"Tango","Sailing",2
"Tanzania","Athletics",1
"Thailand","Boxing",3
"Thames Rowing Club","Rowing",2
"Thessalonki-1","Football",1
"Tip","Sailing",2
"Togo","Canoeing",1
"Tornado","Sailing",2
"Toronto Argonauts","Rowing",3
"Trans-Mississippi Golf Association-2","Golf",1
"Trinidad and Tobago","Athletics",14
"Tritons Lillois-2","Swimming",2
"Tunisia","Fencing",1
"Tunisia","Wrestling",1
"Turkey","Wrestling",30
"Tutti V","Sailing",2
"Uganda","Athletics",1
"Ukraine","Athletics",6
"Unified Team","Handball",10
"Unified Team-1","Figure Skating",1
"Unified Team-2","Figure Skating",1
"Union des Socits Franais de Sports Athletiques","Rugby",4
"Union des Socits Franais de Sports Athletiques","Cricket",4
"United Arab Emirates","Shooting",1
"United Arab Republic","Wrestling",1
"United Arab Republic","Boxing",1
"United States","Athletics",321
"United States-1","Bobsleigh",13
"United States-2","Bobsleigh",7
"United States Golf Association-3","Golf",2
"United States/France","Tennis",2
"United States/Great Britain","Tennis",1
"Univ. of Brussels","Football",1
"Upton Park FC","Football",3
"Uruguay","Football",13
"USFSA","Football",5
"Uzbekistan","Boxing",4
"Venezuela","Boxing",3
"Venilia","Sailing",3
"Vesper Boat Club","Rowing",9
"Vision","Sailing",2
"Wales-4","Hockey",2
"Wannsee","Sailing",1
"Web II","Sailing",2
"West Germany","Fencing",18
"West Germany-1","Bobsleigh",3
"Western Golf Association-1","Golf",4
"Western Rowing Club-3","Rowing",2
"White Lady","Sailing",1
"Widgeon","Sailing",1
"Willem-Six","Sailing",1
"Winnipeg Shamrocks-1","Lacrosse",7
"Yugoslavia","Basketball",23
"Zimbabwe","Swimming",7
